validation_rmse, embedding_type, embedding_dimensionality, hidden_layer_dimensions, n_train_samples, learning_rate
0.9940080212170458, nmf, 110, (55,), 1059257, 0.0001
1.1165947478800964, ids, 160, (80, 40, 20), 1059257, 0.0001
0.9946979196290171, svd, 130, (65,), 1059257, 0.0001
1.0700319988780291, lle, 160, (80,), 1059257, 0.0001
1.116546927132526, ids, 160, (80, 40), 1059257, 0.0001
1.0687326667857497, lle, 150, (75, 37), 1059257, 0.0001
4.647048757729711, ids, 160, (80,), 1059257, 0.0001
1.1839238661455522, iterated_svd, 130, (65, 32, 16), 1059257, 0.0001
0.9931206470154159, pca, 120, (60,), 1059257, 0.0001
0.9947582766769578, pca, 130, (65,), 1059257, 0.0001
1.0677102706455506, lle, 150, (75, 37, 18), 1059257, 0.0001
1.1171799918603658, ids, 170, (85, 42, 21), 1059257, 0.0001
1.16388533833155, iterated_svd, 150, (75,), 1059257, 0.0001
1.071974667037386, lle, 160, (80, 40), 1059257, 0.0001
0.995750907360181, nmf, 130, (65,), 1059257, 0.0001
1.1172786173015565, ids, 170, (85, 42), 1059257, 0.0001
0.9950036676694587, svd, 110, (55, 27), 1059257, 0.0001
1.1714133654911225, iterated_svd, 140, (70, 35, 17), 1059257, 0.0001
1.0687246178141026, lle, 170, (85,), 1059257, 0.0001
0.9942666684857844, nmf, 130, (65, 32), 1059257, 0.0001
0.9928986926629013, pca, 140, (70, 35, 17), 1059257, 0.0001
1.116526636216928, ids, 170, (85,), 1059257, 0.0001
1.0678229185067332, lle, 160, (80, 40, 20), 1059257, 0.0001
1.0690561927966276, lle, 170, (85, 42), 1059257, 0.0001
0.9940142683529386, pca, 140, (70,), 1059257, 0.0001
1.1778072727833675, iterated_svd, 160, (80,), 1059257, 0.0001
1.1919184644953593, iterated_svd, 150, (75, 37), 1059257, 0.0001
1.1166345249286422, ids, 180, (90, 45, 22), 1059257, 0.0001
1.2018188128418197, iterated_svd, 150, (75, 37, 18), 1059257, 0.0001
1.1165327300625767, ids, 180, (90, 45), 1059257, 0.0001
1.0710398698911254, lle, 180, (90,), 1059257, 0.0001
0.9989665442593052, pca, 140, (70, 35), 1059257, 0.0001
0.9930985536513167, nmf, 140, (70, 35, 17), 1059257, 0.0001
0.9928374214977896, nmf, 140, (70,), 1059257, 0.0001
1.1801916739291098, iterated_svd, 170, (85,), 1059257, 0.0001
0.9946859843128268, nmf, 130, (65, 32, 16), 1059257, 0.0001
1.7593406581948468, ids, 190, (95,), 1059257, 0.0001
0.9975705651391578, svd, 120, (60, 30, 15), 1059257, 0.0001
1.1165669240817513, ids, 180, (90,), 1059257, 0.0001
1.1988982409438982, iterated_svd, 170, (85, 42), 1059257, 0.0001
1.2059973588286126, iterated_svd, 160, (80, 40), 1059257, 0.0001
1.0698720256266465, lle, 180, (90, 45), 1059257, 0.0001
1.1167776977255273, ids, 190, (95, 47, 23), 1059257, 0.0001
0.993590811521776, nmf, 150, (75, 37, 18), 1059257, 0.0001
1.0433823366465378, iterated_svd, 190, (95, 47, 23), 1059257, 0.0001
1.0694661034464457, lle, 180, (90, 45, 22), 1059257, 0.0001
1.069906353803489, lle, 190, (95,), 1059257, 0.0001
1.1963441941557649, iterated_svd, 160, (80, 40, 20), 1059257, 0.0001
1.203787832016353, iterated_svd, 180, (90,), 1059257, 0.0001
1.1166172949915472, ids, 190, (95, 47), 1059257, 0.0001
0.9959191221272059, svd, 110, (55, 27, 13), 1059257, 0.0001
1.067535519061841, lle, 170, (85, 42, 21), 1059257, 0.0001
0.9934164398377031, pca, 160, (80, 40, 20), 1059257, 0.0001
0.9938990069096745, pca, 160, (80, 40), 1059257, 0.0001
1.1917634860460444, iterated_svd, 190, (95,), 1059257, 0.0001
1.0697040487162068, lle, 190, (95, 47), 1059257, 0.0001
0.9930207700035034, pca, 190, (95, 47, 23), 1059257, 0.0001
1.0676030447044846, lle, 190, (95, 47, 23), 1059257, 0.0001
1.2130619614366516, iterated_svd, 180, (90, 45, 22), 1059257, 0.0001
0.9953325048273332, nmf, 140, (70, 35), 1059257, 0.0001
0.9967641732587671, pca, 170, (85, 42), 1059257, 0.0001
0.9975622978276932, nmf, 160, (80,), 1059257, 0.0001
0.99576851197997, nmf, 160, (80, 40, 20), 1059257, 0.0001
1.227852454954018, iterated_svd, 190, (95, 47), 1059257, 0.0001
0.9954893687716254, pca, 180, (90, 45, 22), 1059257, 0.0001
